2024-06-20 14:28:12,775 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user admin
2024-06-20 14:28:12,775 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user admin
2024-06-20 14:28:12,775 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user admin
2024-06-20 14:28:12,775 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user admin
2024-06-20 14:28:12,775 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user admin
2024-06-20 14:28:12,775 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user admin
2024-06-20 14:28:12,775 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user admin
2024-06-20 14:28:40,124 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user amin
2024-06-20 14:28:40,124 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user amin
2024-06-20 14:28:40,124 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user amin
2024-06-20 14:28:40,124 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user amin
2024-06-20 14:28:40,124 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user amin
2024-06-20 14:28:40,124 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user amin
2024-06-20 14:28:40,124 - llm_as_a_service_logger - INFO - login_for_access_token: valid credentials for user amin
2024-06-20 14:28:57,710 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:28:57,710 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:28:57,710 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:28:57,710 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:28:57,710 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:28:57,710 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:28:57,710 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:28:57,710 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:28:57,710 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:28:57,710 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:02,714 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:02,714 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:02,714 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:02,714 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:02,714 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:02,714 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:02,714 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:02,714 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:02,714 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:02,714 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:02,714 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:07,722 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:07,722 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:07,722 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:07,722 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:07,722 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:07,722 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:07,722 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:07,722 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:07,722 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:07,722 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:07,722 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:12,731 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:12,731 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:12,731 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:12,731 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:12,731 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:12,731 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:12,731 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:12,731 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:12,731 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:12,731 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:12,731 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:17,738 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:17,738 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:17,738 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:17,738 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:17,738 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:17,738 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:17,738 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:17,738 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:17,738 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:17,738 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:17,738 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71900>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:22,746 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:22,746 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:22,746 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:22,746 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:22,746 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:22,746 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:22,746 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:22,746 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:22,746 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:22,746 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:22,746 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a71f90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:27,753 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a72920>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:27,753 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a72920>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:27,753 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a72920>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:27,753 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a72920>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:27,753 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a72920>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:27,753 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a72920>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:27,753 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a72920>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:27,753 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a72920>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:27,753 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a72920>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:27,753 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a72920>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:27,753 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a72920>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:32,761 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a70940>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:32,761 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a70940>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:32,761 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a70940>: Failed to establish a new connection: [Errno 111] Connection refused'))
2024-06-20 14:29:32,761 - llm_as_a_service_logger - ERROR - Health check error: HTTPConnectionPool(host='localhost', port=8500): Max retries exceeded with url: /metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8605a70940>: Failed to establish a new connection: [Errno 111] Connection refused'))
